index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,1.72148513794,space,4.32151794434,space,4.83817911148,space,0.302550077438,,,,,,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.20383882523,,,,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
4,5,0,../data/raw/stimuli/piti0.wav,i,slash,t_right,voicing,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,slash,1,0.502347946167,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
5,0,5,../data/raw/stimuli/pudu.wav,u,z,t_right,confound,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,z,1,0.386208057404,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
2,5,0,../data/raw/stimuli/pata0.wav,a,slash,t_right,voicing,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,slash,1,0.369833946228,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
3,0,5,../data/raw/stimuli/pidi.wav,i,z,t_right,confound,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,z,1,0.35241484642,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
6,5,0,../data/raw/stimuli/putu0.wav,u,slash,t_right,voicing,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,slash,1,0.169158935547,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
1,0,5,../data/raw/stimuli/pada.wav,a,z,t_right,confound,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,z,1,0.669481039047,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
4,5,0,../data/raw/stimuli/piti0.wav,i,slash,t_right,voicing,,,,,0,0,0,0,1,0,6,3,,,,,,,,,,,,,,,,,,,slash,1,0.336364984512,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
1,0,5,../data/raw/stimuli/pada.wav,a,z,t_right,confound,,,,,0,0,0,0,1,1,7,0,,,,,,,,,,,,,,,,,,,z,1,0.652009010315,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
2,5,0,../data/raw/stimuli/pata0.wav,a,slash,t_right,voicing,,,,,0,0,0,0,1,2,8,1,,,,,,,,,,,,,,,,,,,slash,1,0.570498943329,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
5,0,5,../data/raw/stimuli/pudu.wav,u,z,t_right,confound,,,,,0,0,0,0,1,3,9,4,,,,,,,,,,,,,,,,,,,z,1,0.503018856049,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
3,0,5,../data/raw/stimuli/pidi.wav,i,z,t_right,confound,,,,,0,0,0,0,1,4,10,2,,,,,,,,,,,,,,,,,,,z,1,0.419293165207,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
6,5,0,../data/raw/stimuli/putu0.wav,u,slash,t_right,voicing,,,,,0,0,0,0,1,5,11,5,,,,,,,,,,,,,,,,,,,slash,1,0.552947044373,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
1,0,5,../data/raw/stimuli/pada.wav,a,,t_right,confound,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,space,4.35530686378,z,0.453233003616,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
29,0,5,../data/raw/stimuli/pudu.wav,u,,t_right,confound,,,,,0,0,0,0,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,z,0.419620990753,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
6,4,0,../data/raw/stimuli/pada4.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,slash,0.219693899155,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
27,5,5,../data/raw/stimuli/piti5.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,3,3,26,,,,,,,,,,,,,,,,,,,,z,0.336214065552,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,slash,0.553117036819,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,slash,0.335988044739,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,slash,0.452777147293,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
8,5,0,../data/raw/stimuli/pata0.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,slash,1.46991801262,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
26,5,4,../data/raw/stimuli/piti4.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,8,8,25,,,,,,,,,,,,,,,,,,,,slash,0.519555091858,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,0,9,9,37,,,,,,,,,,,,,,,,,,,,slash,0.60070514679,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,10,10,29,,,,,,,,,,,,,,,,,,,,z,0.469661951065,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,11,11,23,,,,,,,,,,,,,,,,,,,,slash,0.386665821075,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
25,5,3,../data/raw/stimuli/piti3.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,12,12,24,,,,,,,,,,,,,,,,,,,,slash,0.40057182312,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,13,13,18,,,,,,,,,,,,,,,,,,,,slash,0.686745882034,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,slash,0.601238965988,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,15,15,32,,,,,,,,,,,,,,,,,,,,slash,0.485764026642,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
23,5,1,../data/raw/stimuli/piti1.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,16,16,22,,,,,,,,,,,,,,,,,,,,slash,0.353035926819,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,17,17,15,,,,,,,,,,,,,,,,,,,,z,0.586595058441,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,0,18,18,35,,,,,,,,,,,,,,,,,,,,slash,0.419375896454,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
17,1,0,../data/raw/stimuli/pidi1.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,19,19,16,,,,,,,,,,,,,,,,,,,,slash,0.31947684288,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
28,5,6,../data/raw/stimuli/piti6.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,20,20,27,,,,,,,,,,,,,,,,,,,,z,0.436438798904,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,0,21,21,4,,,,,,,,,,,,,,,,,,,,slash,0.352505922318,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,22,22,31,,,,,,,,,,,,,,,,,,,,z,0.60350394249,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,23,23,11,,,,,,,,,,,,,,,,,,,,slash,0.817506074905,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
2,0,0,../data/raw/stimuli/pada0.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,0,24,24,1,,,,,,,,,,,,,,,,,,,,z,0.485671043396,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,25,25,10,,,,,,,,,,,,,,,,,,,,slash,0.452878952026,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,26,26,9,,,,,,,,,,,,,,,,,,,,slash,0.369283914566,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
34,4,0,../data/raw/stimuli/pudu4.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,27,27,33,,,,,,,,,,,,,,,,,,,,slash,0.386234045029,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,28,28,21,,,,,,,,,,,,,,,,,,,,slash,0.35265994072,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
21,5,0,../data/raw/stimuli/pidi5.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,29,29,20,,,,,,,,,,,,,,,,,,,,slash,0.267076015472,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
14,5,6,../data/raw/stimuli/pata6.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,30,30,13,,,,,,,,,,,,,,,,,,,,z,0.586290836334,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
18,2,0,../data/raw/stimuli/pidi2.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,31,31,17,,,,,,,,,,,,,,,,,,,,slash,0.252738952637,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
39,5,3,../data/raw/stimuli/putu3.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,0,32,32,38,,,,,,,,,,,,,,,,,,,,z,0.268762111664,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
31,1,0,../data/raw/stimuli/pudu1.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,33,33,30,,,,,,,,,,,,,,,,,,,,z,0.519150972366,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
15,0,5,../data/raw/stimuli/pidi.wav,i,,t_right,confound,,,,,0,0,0,0,,,,,0,34,34,14,,,,,,,,,,,,,,,,,,,,z,0.45289516449,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
37,5,1,../data/raw/stimuli/putu1.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,0,35,35,36,,,,,,,,,,,,,,,,,,,,z,0.503057003021,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
13,5,5,../data/raw/stimuli/pata5.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,36,36,12,,,,,,,,,,,,,,,,,,,,slash,0.53578710556,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
35,5,0,../data/raw/stimuli/pudu5.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,37,37,34,,,,,,,,,,,,,,,,,,,,slash,0.38565993309,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
20,4,0,../data/raw/stimuli/pidi4.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,38,38,19,,,,,,,,,,,,,,,,,,,,slash,0.186360836029,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,1,0,39,4,,,,,,,,,,,,,,,,,,,,slash,0.301728010178,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,1,1,40,32,,,,,,,,,,,,,,,,,,,,slash,0.402948141098,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,1,2,41,3,,,,,,,,,,,,,,,,,,,,slash,0.302105903625,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
25,5,3,../data/raw/stimuli/piti3.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,1,3,42,24,,,,,,,,,,,,,,,,,,,,slash,0.25275015831,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,1,4,43,37,,,,,,,,,,,,,,,,,,,,slash,0.486227989197,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,5,44,10,,,,,,,,,,,,,,,,,,,,slash,0.269562005997,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,1,6,45,15,,,,,,,,,,,,,,,,,,,,z,0.735731124878,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,1,7,46,6,,,,,,,,,,,,,,,,,,,,slash,0.386260032654,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,1,8,47,2,,,,,,,,,,,,,,,,,,,,slash,0.236366987228,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
39,5,3,../data/raw/stimuli/putu3.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,1,9,48,38,,,,,,,,,,,,,,,,,,,,z,0.386280059814,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
17,1,0,../data/raw/stimuli/pidi1.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,1,10,49,16,,,,,,,,,,,,,,,,,,,,slash,0.235575914383,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,1,11,50,35,,,,,,,,,,,,,,,,,,,,slash,0.219907999039,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
34,4,0,../data/raw/stimuli/pudu4.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,1,12,51,33,,,,,,,,,,,,,,,,,,,,slash,0.269696950912,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
27,5,5,../data/raw/stimuli/piti5.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,1,13,52,26,,,,,,,,,,,,,,,,,,,,z,0.353386878967,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
29,0,5,../data/raw/stimuli/pudu.wav,u,,t_right,confound,,,,,0,0,0,0,,,,,1,14,53,28,,,,,,,,,,,,,,,,,,,,z,0.269937038422,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,1,15,54,29,,,,,,,,,,,,,,,,,,,,z,0.302036046982,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
18,2,0,../data/raw/stimuli/pidi2.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,1,16,55,17,,,,,,,,,,,,,,,,,,,,slash,0.303625106812,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
6,4,0,../data/raw/stimuli/pada4.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,1,17,56,5,,,,,,,,,,,,,,,,,,,,slash,0.536307096481,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
1,0,5,../data/raw/stimuli/pada.wav,a,,t_right,confound,,,,,0,0,0,0,,,,,1,18,57,0,,,,,,,,,,,,,,,,,,,,z,0.235342979431,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
15,0,5,../data/raw/stimuli/pidi.wav,i,,t_right,confound,,,,,0,0,0,0,,,,,1,19,58,14,,,,,,,,,,,,,,,,,,,,z,0.20280790329,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,1,20,59,21,,,,,,,,,,,,,,,,,,,,slash,0.202692985535,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
26,5,4,../data/raw/stimuli/piti4.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,1,21,60,25,,,,,,,,,,,,,,,,,,,,slash,0.352824926376,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,22,61,8,,,,,,,,,,,,,,,,,,,,slash,0.367343902588,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
14,5,6,../data/raw/stimuli/pata6.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,23,62,13,,,,,,,,,,,,,,,,,,,,slash,0.435318946838,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
23,5,1,../data/raw/stimuli/piti1.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,1,24,63,22,,,,,,,,,,,,,,,,,,,,slash,0.219502925873,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,1,25,64,18,,,,,,,,,,,,,,,,,,,,slash,0.236264944077,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,1,26,65,31,,,,,,,,,,,,,,,,,,,,slash,0.236059904099,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
21,5,0,../data/raw/stimuli/pidi5.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,1,27,66,20,,,,,,,,,,,,,,,,,,,,slash,0.250353097916,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
20,4,0,../data/raw/stimuli/pidi4.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,1,28,67,19,,,,,,,,,,,,,,,,,,,,slash,0.119485855103,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
13,5,5,../data/raw/stimuli/pata5.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,29,68,12,,,,,,,,,,,,,,,,,,,,z,0.350967168808,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
28,5,6,../data/raw/stimuli/piti6.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,1,30,69,27,,,,,,,,,,,,,,,,,,,,z,0.519575834274,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
31,1,0,../data/raw/stimuli/pudu1.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,1,31,70,30,,,,,,,,,,,,,,,,,,,,z,0.302906036377,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
37,5,1,../data/raw/stimuli/putu1.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,1,32,71,36,,,,,,,,,,,,,,,,,,,,z,0.203035116196,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
2,0,0,../data/raw/stimuli/pada0.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,1,33,72,1,,,,,,,,,,,,,,,,,,,,slash,0.268563985825,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
35,5,0,../data/raw/stimuli/pudu5.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,1,34,73,34,,,,,,,,,,,,,,,,,,,,z,0.419775009155,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
8,5,0,../data/raw/stimuli/pata0.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,35,74,7,,,,,,,,,,,,,,,,,,,,slash,0.46947312355,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,1,36,75,23,,,,,,,,,,,,,,,,,,,,slash,0.368800163269,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,37,76,11,,,,,,,,,,,,,,,,,,,,slash,0.502665042877,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,38,77,9,,,,,,,,,,,,,,,,,,,,slash,0.436370134354,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,2,0,78,31,,,,,,,,,,,,,,,,,,,,z,0.586176872253,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,2,1,79,2,,,,,,,,,,,,,,,,,,,,z,0.485736846924,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,2,2,80,32,,,,,,,,,,,,,,,,,,,,z,0.552477836609,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,2,3,81,37,,,,,,,,,,,,,,,,,,,,z,0.286201000214,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,2,4,82,6,,,,,,,,,,,,,,,,,,,,slash,0.485994100571,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,2,5,83,9,,,,,,,,,,,,,,,,,,,,slash,0.469267129898,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,2,6,84,10,,,,,,,,,,,,,,,,,,,,slash,0.369464874268,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
2,0,0,../data/raw/stimuli/pada0.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,2,7,85,1,,,,,,,,,,,,,,,,,,,,slash,0.518965005875,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,2,8,86,35,,,,,,,,,,,,,,,,,,,,slash,0.568930864334,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
20,4,0,../data/raw/stimuli/pidi4.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,2,9,87,19,,,,,,,,,,,,,,,,,,,,slash,0.486175060272,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
