index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,participant,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,12.6102559566,space,4.92175507545,space,10.8567140102,space,10.7404458523,,,,,,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.8577458858,,,,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,z,1,2.10227608681,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,slash,1,0.502774000168,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
2,5,0,../data/raw/stimuli/pata0.wav,a,z,t_left,voicing,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,z,1,0.669387102127,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
4,5,0,../data/raw/stimuli/piti0.wav,i,z,t_left,voicing,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,z,1,0.636618852615,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
3,0,5,../data/raw/stimuli/pidi.wav,i,slash,t_left,confound,,,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,slash,1,0.353146791458,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
1,0,5,../data/raw/stimuli/pada.wav,a,slash,t_left,confound,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,slash,1,0.384728908539,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
1,0,5,../data/raw/stimuli/pada.wav,a,slash,t_left,confound,,,,,,,,,0,0,0,0,1,0,6,0,,,,,,,,,,,,,,,slash,1,0.186185121536,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
4,5,0,../data/raw/stimuli/piti0.wav,i,z,t_left,voicing,,,,,,,,,0,0,0,0,1,1,7,3,,,,,,,,,,,,,,,z,1,0.235065937042,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,slash,1,0.233007907867,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
3,0,5,../data/raw/stimuli/pidi.wav,i,slash,t_left,confound,,,,,,,,,0,0,0,0,1,3,9,2,,,,,,,,,,,,,,,slash,1,0.31935095787,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
2,5,0,../data/raw/stimuli/pata0.wav,a,z,t_left,voicing,,,,,,,,,0,0,0,0,1,4,10,1,,,,,,,,,,,,,,,z,1,0.202924013138,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,1,5,11,5,,,,,,,,,,,,,,,z,1,0.736511945724,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,2,0,12,5,,,,,,,,,,,,,,,z,1,0.452214002609,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
3,0,5,../data/raw/stimuli/pidi.wav,i,slash,t_left,confound,,,,,,,,,0,0,0,0,2,1,13,2,,,,,,,,,,,,,,,slash,1,0.3191010952,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
2,5,0,../data/raw/stimuli/pata0.wav,a,z,t_left,voicing,,,,,,,,,0,0,0,0,2,2,14,1,,,,,,,,,,,,,,,z,1,0.35265994072,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
4,5,0,../data/raw/stimuli/piti0.wav,i,z,t_left,voicing,,,,,,,,,0,0,0,0,2,3,15,3,,,,,,,,,,,,,,,z,1,0.40279006958,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,2,4,16,4,,,,,,,,,,,,,,,slash,1,0.336354970932,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
1,0,5,../data/raw/stimuli/pada.wav,a,slash,t_left,confound,,,,,,,,,0,0,0,0,2,5,17,0,,,,,,,,,,,,,,,slash,1,0.285893917084,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,3,0,18,5,,,,,,,,,,,,,,,z,1,0.252252817154,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,3,1,19,4,,,,,,,,,,,,,,,slash,1,0.369134902954,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
3,0,5,../data/raw/stimuli/pidi.wav,i,slash,t_left,confound,,,,,,,,,0,0,0,0,3,2,20,2,,,,,,,,,,,,,,,slash,1,0.418833971024,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
2,5,0,../data/raw/stimuli/pata0.wav,a,z,t_left,voicing,,,,,,,,,0,0,0,0,3,3,21,1,,,,,,,,,,,,,,,z,1,0.26905298233,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
4,5,0,../data/raw/stimuli/piti0.wav,i,z,t_left,voicing,,,,,,,,,0,0,0,0,3,4,22,3,,,,,,,,,,,,,,,z,1,0.303170919418,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
1,0,5,../data/raw/stimuli/pada.wav,a,slash,t_left,confound,,,,,,,,,0,0,0,0,3,5,23,0,,,,,,,,,,,,,,,slash,1,0.202306985855,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
3,0,5,../data/raw/stimuli/pidi.wav,i,slash,t_left,confound,,,,,,,,,0,0,0,0,4,0,24,2,,,,,,,,,,,,,,,slash,1,0.152832984924,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,4,1,25,4,,,,,,,,,,,,,,,slash,1,0.202950000763,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,4,2,26,5,,,,,,,,,,,,,,,z,1,0.135324001312,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
2,5,0,../data/raw/stimuli/pata0.wav,a,z,t_left,voicing,,,,,,,,,0,0,0,0,4,3,27,1,,,,,,,,,,,,,,,z,1,0.170043945312,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
4,5,0,../data/raw/stimuli/piti0.wav,i,z,t_left,voicing,,,,,,,,,0,0,0,0,4,4,28,3,,,,,,,,,,,,,,,z,1,0.21844291687,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
1,0,5,../data/raw/stimuli/pada.wav,a,slash,t_left,confound,,,,,,,,,0,0,0,0,4,5,29,0,,,,,,,,,,,,,,,slash,1,0.23615694046,,,,,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,0,0,32,,,,,,,,,,,,,,space,5.85564303398,z,0.469321966171,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,1,1,31,,,,,,,,,,,,,,,,z,0.369416952133,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,2,2,15,,,,,,,,,,,,,,,,z,0.319321155548,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
39,5,3,../data/raw/stimuli/putu3.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,3,3,38,,,,,,,,,,,,,,,,slash,0.818190097809,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,4,4,9,,,,,,,,,,,,,,,,z,0.482875823975,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,5,5,10,,,,,,,,,,,,,,,,z,0.569391965866,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
18,2,0,../data/raw/stimuli/pidi2.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,6,6,17,,,,,,,,,,,,,,,,z,0.319349050522,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
14,5,6,../data/raw/stimuli/pata6.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,7,7,13,,,,,,,,,,,,,,,,slash,0.485664129257,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
8,5,0,../data/raw/stimuli/pata0.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,8,8,7,,,,,,,,,,,,,,,,z,0.318222999573,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
13,5,5,../data/raw/stimuli/pata5.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,9,9,12,,,,,,,,,,,,,,,,slash,0.418792963028,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
6,4,0,../data/raw/stimuli/pada4.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,10,10,5,,,,,,,,,,,,,,,,z,0.303128957748,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
20,4,0,../data/raw/stimuli/pidi4.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,11,11,19,,,,,,,,,,,,,,,,z,0.367928028107,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,12,12,29,,,,,,,,,,,,,,,,slash,0.501502990723,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,13,13,3,,,,,,,,,,,,,,,,z,0.302977085114,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,14,14,8,,,,,,,,,,,,,,,,z,0.333676815033,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
21,5,0,../data/raw/stimuli/pidi5.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,15,15,20,,,,,,,,,,,,,,,,z,0.23561000824,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
34,4,0,../data/raw/stimuli/pudu4.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,16,16,33,,,,,,,,,,,,,,,,z,0.402444124222,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
23,5,1,../data/raw/stimuli/piti1.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,17,17,22,,,,,,,,,,,,,,,,z,0.269702911377,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
1,0,5,../data/raw/stimuli/pada.wav,a,,t_left,confound,,,,,,,,,0,0,0,0,,,,,0,18,18,0,,,,,,,,,,,,,,,,slash,0.219435930252,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
15,0,5,../data/raw/stimuli/pidi.wav,i,,t_left,confound,,,,,,,,,0,0,0,0,,,,,0,19,19,14,,,,,,,,,,,,,,,,slash,0.303507089615,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,20,20,11,,,,,,,,,,,,,,,,slash,0.852674007416,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
35,5,0,../data/raw/stimuli/pudu5.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,21,21,34,,,,,,,,,,,,,,,,z,0.367429018021,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
2,0,0,../data/raw/stimuli/pada0.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,22,22,1,,,,,,,,,,,,,,,,slash,0.669898986816,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,23,23,6,,,,,,,,,,,,,,,,z,0.336054086685,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,24,24,2,,,,,,,,,,,,,,,,slash,0.518538951874,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,25,25,37,,,,,,,,,,,,,,,,slash,0.352574110031,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,26,26,23,,,,,,,,,,,,,,,,z,0.267064094543,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
27,5,5,../data/raw/stimuli/piti5.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,27,27,26,,,,,,,,,,,,,,,,slash,0.252207040787,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
31,1,0,../data/raw/stimuli/pudu1.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,28,28,30,,,,,,,,,,,,,,,,slash,0.368699789047,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
26,5,4,../data/raw/stimuli/piti4.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,29,29,25,,,,,,,,,,,,,,,,slash,0.385828018188,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
17,1,0,../data/raw/stimuli/pidi1.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,30,30,16,,,,,,,,,,,,,,,,z,0.285734176636,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,31,31,4,,,,,,,,,,,,,,,,z,0.402802944183,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,32,32,21,,,,,,,,,,,,,,,,z,0.252166986465,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
25,5,3,../data/raw/stimuli/piti3.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,33,33,24,,,,,,,,,,,,,,,,z,0.486369132996,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,34,34,18,,,,,,,,,,,,,,,,z,0.336042165756,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
28,5,6,../data/raw/stimuli/piti6.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,35,35,27,,,,,,,,,,,,,,,,slash,0.18639087677,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
37,5,1,../data/raw/stimuli/putu1.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,36,36,36,,,,,,,,,,,,,,,,slash,0.452595949173,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
29,0,5,../data/raw/stimuli/pudu.wav,u,,t_left,confound,,,,,,,,,0,0,0,0,,,,,0,37,37,28,,,,,,,,,,,,,,,,slash,0.284130096436,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,38,38,35,,,,,,,,,,,,,,,,z,0.219595909119,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,0,39,4,,,,,,,,,,,,,,,,z,0.284382104874,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
27,5,5,../data/raw/stimuli/piti5.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,1,40,26,,,,,,,,,,,,,,,,slash,0.403630971909,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
