index,speaker,word,vowel.duration,closure.duration,vot,sentence.duration
1,PS02,pata,84.93655366472996,63.74995123200322,26.068013562883465,0.9299769999999999
2,PS02,puku,59.99999999999961,76.24399984703345,23.75600015296664,1.0099770000000001
3,PS02,pogo,86.88901553096962,--undefined--,--undefined--,0.8649890000000005
4,PS02,paka,98.6043541710746,50.17914827794634,32.80471414325348,1.4299769999999992
5,PS02,poto,93.72295049923807,47.98039834174617,52.576517298060566,1.009977000000001
6,PS02,pugu,66.38708993695985,225.91987736398698,-108.7661892399403,1.084942999999999
7,PS02,podo,114.22471106093113,43.68738218652268,8.055435644497067,1.0550109999999968
8,PS02,putu,97.7145472155172,36.431084984990036,42.56097209033527,1.5199999999999996
9,PS02,poko,84.18525996283321,58.95036343157045,50.8455266147223,1.1525827648269384
10,PS02,pada,117.8899485031728,39.24778238888749,12.862269107937863,0.9899319999999996
11,PS02,pudu,85.47544268164842,41.16233788592183,13.362219432430322,1.0599539999999976
12,PS02,paga,96.65167859001755,44.54244473621927,2.3189751862169317,0.9799539999999993
13,PS02,pata,81.0311602614,61.10466737304776,28.713004241996742,0.9400000000000013
14,PS02,puku,49.25846678133894,66.48808979850429,54.253443420158476,1.0099770000000063
15,PS02,pogo,78.10229602234386,--undefined--,--undefined--,1.0499769999999984
16,PS02,paka,120.63699233177516,155.17651919507358,-70.79498446818633,1.019999999999996
17,PS02,poto,83.95996822402907,57.32387963545449,33.44686060814439,0.980000000000004
18,PS02,pugu,56.62416461620268,79.95612752054626,25.481972109623996,1.0350120000000018
19,PS02,podo,81.30052053558501,38.36824552406881,0.33123394034362263,1.0149660000000011
20,PS02,putu,72.70532443027378,55.90215611529459,41.39251945443334,0.9949660000000051
21,PS02,poko,77.12601732207247,73.09085521887226,41.13375271381159,1.0150110000000012
22,PS02,pada,86.21691216472271,33.476429480934655,3.6221611296767264,0.9300230000000056
23,PS02,pudu,90.00000000000341,42.21743832101765,7.75438390074612,1.0049879999999973
24,PS02,paga,107.39065703072725,36.98606766742074,10.85158864626834,0.9599550000000008
25,PS02,pata,73.22090252095137,44.466984379489816,29.09358869421652,0.9299770000000009
26,PS02,puku,53.69532105704167,86.49048051102426,23.236029273292047,1.1000000000000014
27,PS02,pogo,83.9598749272028,49.02064342769563,12.484846344563039,0.995010999999991
28,PS02,paka,99.58030294232856,47.53690579319425,38.37551243155701,1.0149199999999894
29,PS02,poto,87.86497318440922,51.84580936978023,36.019163814628996,1.240000000000009
30,PS02,pugu,56.624093829952926,84.88719516721233,4.930332976840646,1.0550110000000075
31,PS02,podo,75.12352830430302,50.20044078621311,24.676030909475344,0.9550109999999989
32,PS02,putu,85.91241822475126,60.369145704513016,25.543272520238247,1
33,PS02,poko,54.52781981412613,66.34002780010917,33.659972199885146,0.9500230000000016
34,PS02,pada,103.48541286163027,31.947894887409234,-0.7070155329529371,0.9499780000000015
35,PS02,pudu,49.79015147115717,57.74010975349597,11.575591314198164,0.9949660000000051
36,PS02,paga,106.41424530112431,40.37824661439515,11.36445981641998,0.9500220000000041
37,PS02,pata,70.29197854751601,40.49435232390408,-0.5594118129863546,0.9049890000000005
38,PS02,puku,82.98358578527143,77.81982761862594,14.926532964906869,1.0299770000000024
39,PS02,pogo,74.19708846683193,49.963741841906995,12.5180168670056,1.0349659999999972
40,PS02,paka,81.03103082562768,58.984524864072796,37.66694563876172,0.9849889999999988
41,PS02,poto,65.58192209956815,58.46129446987902,25.956783430558517,1.0349659999999972
42,PS02,pugu,65.41059114839243,70.71143909757893,17.15353408681608,0.9699770000000001
43,PS02,podo,70.49397333025809,55.403589032380296,4.149337237038253,1.284988999999996
44,PS02,putu,58.97996897039093,70.03816984205002,25.637023180976826,1.0449880000000036
45,PS02,poko,73.22081098699584,64.57672446053664,36.95613344144988,1.0099769999999921
46,PS02,pada,83.33976937996113,24.319965303291724,5.680034696709413,0.9399999999999977
47,PS02,pudu,68.16550321391901,49.46112681655279,11.068076932716053,1.0100220000000064
48,PS02,paga,74.4058614818357,36.83206016181373,9.052981390041737,0.8899770000000018
49,PS02,pata,64.43431366855634,66.15210638317137,31.475641599499227,0.9200000000000017
50,PS02,puku,49.99999999999716,77.92417745980629,22.07582254020224,0.9249889999999965
51,PS02,pogo,64.95241217993453,42.991757712869116,16.561168556549433,0.9399999999999977
52,PS02,paka,82.00730830544956,61.6469492488676,24.265468975883664,0.9749199999999973
53,PS02,poto,66.06917743138752,50.74690785261282,27.355290533535026,0.924987999999999
54,PS02,pugu,40.02736555321462,70.08471464251897,50.973659225746815,1.0749660000000034
55,PS02,podo,92.2348474808814,45.993815028538165,11.77133749058612,1.0249889999999766
56,PS02,putu,49.39607414232228,52.561621345688536,43.11345871767003,0.9550110000000132
57,PS02,poko,91.76997475464077,56.12693604027186,32.71420973283057,0.9449880000000235
58,PS02,pada,99.40565700128445,46.28860094308607,9.359149706028802,0.9599550000000079
59,PS02,pudu,76.74943427880976,46.60308872081487,26.647477000352637,1.0449880000000178
60,PS02,paga,96.65135639053801,45.362367513178015,11.26165946308788,0.9899769999999819
61,PS02,pata,95.57230009457385,42.69622400838102,41.26354012885258,1.284988999999996
62,PS02,puku,49.99999999998295,49.36216191651965,50.63783808347466,0.9150109999999927
63,PS02,pogo,78.10210617415692,58.013811233507795,15.2069133047803,1.0549660000000074
64,PS02,paka,90.79369842746132,56.12734821315257,55.16815308502032,1.0099769999999921
65,PS02,poto,75.13754766742409,56.54260263932542,38.15620109685369,0.9950110000000052
66,PS02,pugu,48.81381635885873,55.907614650351434,29.159032177744848,1.0399539999999945
67,PS02,podo,93.9793839389722,49.19266925702459,11.336463027930677,1.0899780000000021
68,PS02,putu,70.2936703800674,79.98683406279383,39.7194955571365,1.1249880000000019
69,PS02,poko,71.2681718839292,69.17536342155017,42.12013787662272,0.9899770000000103
70,PS02,pada,72.24444821110865,26.798327807398437,18.1103832427425,1.0600000000000023
71,PS02,pudu,68.46657547396262,55.930386183149494,16.314062027959153,1.2249879999999962
72,PS02,paga,90.79369842746132,51.78461727913941,11.673343987382623,1.0299320000000023
73,PS02,pata,72.24444821110865,61.148123886255235,25.060004435204064,0.8849890000000187
74,PS02,puku,44.117551541177136,58.549239853391555,57.3332086054279,1.0300220000000024
75,PS02,pogo,63.45796126649361,57.272575216416044,23.758359939279217,1.0349659999999972
76,PS02,paka,88.84114577313085,62.83054183361969,42.607301501504935,1.039999999999992
77,PS02,poto,84.93604046441305,57.21034087534349,35.53591020647673,1
78,PS02,pugu,49.79009268603818,89.42105385750665,1.372644569954673,1.0849890000000073
79,PS02,podo,111.82901536210466,37.78198680595324,10.388997831938696,1.1149659999999812
80,PS02,putu,68.96792245882466,63.70631659825676,47.3257609429254,1.0800000000000125
81,PS02,poko,67.3630665752114,74.25226490536829,42.90089435588129,1.0550110000000075
82,PS02,pada,85.9123167915925,--undefined--,--undefined--,1.0499769999999842
83,PS02,pudu,88.84114577310243,53.977953863949324,12.408836384111055,1.4349200000000053
84,PS02,paga,83.43529183306941,41.194452760265676,15.37025540667969,1.024989000000005
85,PS02,pata,84.93604046441305,49.55887827549077,31.47205688020449,0.9649890000000028
86,PS02,puku,59.40269243129137,46.0676864942684,44.52962107444591,1
87,PS02,pogo,99.55408588916725,53.987840970648904,6.458073140180431,1.0499770000000126
88,PS02,paka,95.67508006333014,67.94414695514206,38.469972707162015,1.079999999999984
89,PS02,poto,94.35849263829255,35.895691609994174,59.74581575171101,1.0350109999999972
90,PS02,pugu,65.41051392088093,--undefined--,--undefined--,0.9699770000000001
91,PS02,podo,74.53130298361543,47.48417583064679,8.163574818439656,0.975010999999995
92,PS02,putu,73.69827247813987,89.70000569448189,26.601721827375968,1.0899780000000021
93,PS02,poko,60.000000000002274,55.577712093821674,54.42228790619197,1.0149660000000154
94,PS02,pada,89.7695093532036,52.42976619453543,7.80072445226665,0.9699770000000001
95,PS02,pudu,65.37514936368893,57.618007732799015,17.00684290352683,1.0999539999999968
96,PS02,paga,106.41411966230407,49.864617714291626,8.711961916333166,0.9800450000000183
